Test case,Total,CPU Setup,GPU Total,GPU Upload,GPU Upload Create,Preprocessing,Instruction Hount,Instruction Gen,Optimize,Regalloc,Jump Fix,Postprocess,GPU Stages,,Total,CPU Setup,GPU Total,GPU Upload,GPU Upload Create,Preprocessing,Instruction Count,Instruction Gen,Optimize,Regalloc,Jump Fix,Postprocess,Combined,,Nodes,Width,Height,Functions,Max Func Len
Basic1,"2298084,83870968","1977,83870967742","53204,3548387097","161,806451612903","31,5161290322581","114,967741935484","111,935483870968","1734,25806451613","683,225806451613","50177,1935483871","198,645161290323","11,1612903225806","53031,3870967742",,"24610,7892438754","608,903336432212","451,508770559856","3,64617932306051","1,15096967066717","2,71396230590063","2,65751116486796","17,8493094953941","10,8157591116523","456,838514091127","5,45617929261111","0,582910753234626","452,142505368927",,1155,234,19,5,397
Basic2,"2340501,74193548","3845,61290322581","87972,5483870968","183,806451612903","31,8064516129032","117,709677419355","121,612903225806","1711,77419354839","816,483870967742","84777,4193548387","219,903225806452","11,3225806451613","87776,2258064516",,"25207,9837802335","821,19980018748","587,020035927774","7,50297432062205","2,13571775349194","7,55951298425631","5,80044492175579","58,3807671968657","25,94593220236","529,746088498603","13,0826980874479","0,791079295401481","582,832835364047",,3078,697,18,9,667
Basic3,"2394601,83870968","23982,6451612903","128527,903225806","387,516129032258","34,0967741935484","239,258064516129","121,322580645161","2044,67741935484","1058,12903225806","124444,096774194","208,322580645161","12,4838709677419","128128,290322581",,"35750,4622880104","3468,26364384627","4129,83660173006","5,32209838154047","1,55680953041099","5,68018627590965","2,56108176069141","22,5453426037015","15,3443625597674","4107,61832335023","5,63552480120053","0,625617974056345","4128,57853014447",,25793,5454,19,80,846
Basic4,"2533584,74193548","119093,548387097","183565,709677419","1435,51612903226","44,9677419354839","526,774193548387","222,806451612903","3183,03225806452","1802,09677419355","175835,774193548","526,967741935484","19,5483870967742",182117,,"21869,0171871345","14384,4822333854","3713,90211855894","243,414991453929","10,1439107217672","127,354023540004","12,5337394123188","166,335100298758","51,7914760288535","3563,03462149591","42,9328808498162","0,850047437006483","3638,61902375063",,128321,27053,19,421,1108
Basic5,"2646310,22580645","254269,451612903","173277,580645161","2865,16129032258","241,096774193548","1391,45161290323","319,903225806452","4643,54838709677","2363,45161290323","161061,967741935","592,870967741936","26,2258064516129","170399,419354839",,"19321,330776648","12782,2788756901","5165,24844045404","101,112840191604","14,9026951448604","431,899049833768","97,709213089558","3602,49984352264","48,1904822620106","2749,89411291745","13,2306259249361","0,762000762001143","5141,22650589781",,275852,58642,19,895,1006
Basic6,"5747579,83870968","2936798,38709677","426698,032258065","11449,1290322581","275,516129032258","1588,67741935484","595,516129032258","12353,0322580645","9410,45161290323","389365,096774194","1808,93548387097","114,548387096774","415236,258064516",,"33407,4613792556","22300,7896282881","2665,39956334094","565,662958656212","16,7727377366605","114,183299157327","11,8120587190716","316,959669765831","25,8596709307207","2590,9651143263","5,36616240200864","0,809885163769916","2541,45514705968",,2550855,541224,19,8387,1295
Basic7,"20183094,2903226","15558096,7096774","1395350,35483871","49247,935483871","526,451612903226","2877,8064516129","2507,70967741935","45479,9032258065","47261,6451612903","1239448,83870968","8020,61290322581","492,677419354839","1346089,19354839",,"290471,724371948","268148,408467549","8680,36499443192","6863,04690806974","201,692809111559","733,277183578617","2827,23560147303","2766,81971891723","19,4242947312496","2194,25822085391","11,2061810900795","0,652538467534982","4804,61435441219",,12301146,2619673,19,40112,1296
Funclen1,"2592749,41935484","319720,193548387","47782,9032258065","3258,35483870968","238,903225806452","1295,54838709677","300,322580645161","3403,64516129032","842,935483870968",37306,"1330,12903225806","33,8387096774194","44512,4193548387",,"20108,7377256326","15239,9790363359","506,738285826698","29,9205039920751","4,73536227906361","11,7326857103774","4,15039834854594","22,2494170516844","7,43386612681435","504,174837399356","7,06513474975942","0,637535577754862","498,93324698424",,307141,77058,9,25118,53
Funclen2,"2506180,22580645","242395,548387097","40466,9032258065","2692,93548387097","156,290322580645","736,290322580645","300,774193548387","2996,58064516129","938,387096774193","32372,4516129032","391,709677419355","25,9354838709677","37762,1290322581",,"22818,0227754432","16799,1753564249","865,29649465135","475,268551136013","8,76049294041949","41,1154419882904","16,4857709908057","132,962594788547","28,8255412430884","542,332790741975","4,18882281305139","0,892019576428221","649,914699117532",,228263,61668,9,12495,79
Funclen3,"2465875,48387097","203824,483870968","35690,064516129","2284,35483870968","158,774193548387","812,967741935484","301,483870967742","3024,67741935484","879,774193548387","27983,9032258065","367,870967741935","23,1935483870968","33393,8709677419",,"16823,6685691537","13652,9740957077","593,405029496935","101,443431982919","7,42387893857542","49,6980776764171","15,5367756580786","133,687293611316","21,6621169747547","450,502042528756","15,134380144743","0,980454140988065","530,341571815466",,199753,54731,9,6181,90
