Filename,Nodes,Width,Height,Functions,Max Function,Total,CPU Setup,GPU Total,GPU Upload,GPU Upload Create,Preprocessing,Instruction Count,Instruction Gen,Optimize,Regalloc,Jump Fix,Postprocess
./basic/1.in/0.out,1155,234,19,5,397,2325079,2329,52544,162,32,117,113,1749,686,49503,192,11
./basic/1.in/1.out,1155,234,19,5,397,2292758,2252,53374,157,31,112,110,1732,682,50358,201,11
./basic/1.in/2.out,1155,234,19,5,397,2279545,2052,53454,166,32,112,111,1753,671,50421,196,11
./basic/1.in/3.out,1155,234,19,5,397,2396331,1368,52585,173,34,124,120,1751,732,49459,202,13
./basic/1.in/4.out,1155,234,19,5,397,2299229,2191,53408,165,32,119,112,1732,681,50377,200,12
./basic/1.in/5.out,1155,234,19,5,397,2294981,2120,52559,161,31,113,108,1725,682,49557,192,10
./basic/1.in/6.out,1155,234,19,5,397,2282906,2408,53528,161,31,113,115,1741,691,50484,201,11
./basic/1.in/7.out,1155,234,19,5,397,2279426,1124,52481,160,30,117,111,1752,680,49438,201,11
./basic/1.in/8.out,1155,234,19,5,397,2279917,995,53386,168,33,111,112,1708,668,50404,191,11
./basic/1.in/9.out,1155,234,19,5,397,2260255,991,53476,163,32,115,111,1736,684,50433,211,12
./basic/1.in/10.out,1155,234,19,5,397,2305555,2173,53511,164,34,113,109,1725,680,50501,198,11
./basic/1.in/11.out,1155,234,19,5,397,2279209,1990,52536,164,32,114,110,1721,683,49525,198,12
./basic/1.in/12.out,1155,234,19,5,397,2271003,996,53536,157,30,116,111,1730,683,50527,189,11
./basic/1.in/13.out,1155,234,19,5,397,2310783,3209,53339,157,30,115,112,1704,680,50338,210,11
./basic/1.in/14.out,1155,234,19,5,397,2289131,1998,53567,158,30,115,115,1735,689,50531,202,11
./basic/1.in/15.out,1155,234,19,5,397,2319988,2111,53403,163,31,114,116,1710,696,50384,198,11
./basic/1.in/16.out,1155,234,19,5,397,2309899,1967,53555,161,32,118,113,1727,687,50534,193,11
./basic/1.in/17.out,1155,234,19,5,397,2301707,2253,53480,163,32,112,110,1694,681,50501,197,11
./basic/1.in/18.out,1155,234,19,5,397,2298132,2349,53614,158,31,114,113,1763,684,50554,205,11
./basic/1.in/19.out,1155,234,19,5,397,2305661,2529,52426,158,31,115,111,1741,676,49408,196,11
./basic/1.in/20.out,1155,234,19,5,397,2277438,1763,52410,160,31,116,114,1740,680,49377,201,10
./basic/1.in/21.out,1155,234,19,5,397,2319685,3122,53505,163,33,115,109,1735,690,50469,202,12
./basic/1.in/22.out,1155,234,19,5,397,2306414,2262,53517,160,30,110,116,1740,680,50488,200,11
./basic/1.in/23.out,1155,234,19,5,397,2272854,1337,52573,169,31,117,109,1742,677,49541,196,11
./basic/1.in/24.out,1155,234,19,5,397,2297820,2179,53507,161,31,116,109,1758,674,50473,193,12
./basic/1.in/25.out,1155,234,19,5,397,2301424,2703,52556,162,32,117,111,1743,680,49525,196,11
./basic/1.in/26.out,1155,234,19,5,397,2302537,2444,53388,160,33,112,113,1696,671,50412,202,11
./basic/1.in/27.out,1155,234,19,5,397,2288626,995,53564,161,31,116,111,1763,679,50520,191,11
./basic/1.in/28.out,1155,234,19,5,397,2325021,2061,53568,160,30,114,111,1737,684,50531,208,11
./basic/1.in/29.out,1155,234,19,5,397,2275626,2047,53426,162,31,116,115,1732,684,50401,195,11
./basic/1.in/30.out,1155,234,19,5,397,2291690,995,53559,159,33,116,109,1747,685,50519,201,11
./basic/2.in/0.out,3078,697,18,9,667,2317413,4049,88116,183,33,115,122,1713,796,84944,221,11
./basic/2.in/1.out,3078,697,18,9,667,2353438,3879,87975,183,31,116,119,1700,818,84793,222,12
./basic/2.in/2.out,3078,697,18,9,667,2335065,4204,87065,179,30,118,117,1692,812,83904,217,12
./basic/2.in/3.out,3078,697,18,9,667,2382042,3875,88461,182,30,117,119,1704,813,85283,218,12
./basic/2.in/4.out,3078,697,18,9,667,2341554,3996,89990,217,38,153,148,2013,918,86223,288,14
./basic/2.in/5.out,3078,697,18,9,667,2307300,2399,86944,184,31,120,125,1678,809,83787,218,11
./basic/2.in/6.out,3078,697,18,9,667,2322330,2703,88370,182,31,120,120,1698,810,85196,220,11
./basic/2.in/7.out,3078,697,18,9,667,2409066,3589,88225,194,33,127,133,1713,867,84947,219,13
./basic/2.in/8.out,3078,697,18,9,667,2341654,5098,88323,181,32,113,125,1701,807,85155,218,11
./basic/2.in/9.out,3078,697,18,9,667,2364834,3851,87926,178,30,115,121,1705,797,84765,221,11
./basic/2.in/10.out,3078,697,18,9,667,2346711,4584,88454,185,33,114,120,1705,805,85281,220,11
./basic/2.in/11.out,3078,697,18,9,667,2365761,4845,87914,177,30,113,123,1676,802,84787,213,11
./basic/2.in/12.out,3078,697,18,9,667,2337694,4395,87752,178,30,118,121,1680,816,84598,219,10
./basic/2.in/13.out,3078,697,18,9,667,2305279,2390,88330,181,31,114,119,1709,816,85153,215,11
./basic/2.in/14.out,3078,697,18,9,667,2358261,3733,88301,180,31,116,123,1683,800,85162,213,11
./basic/2.in/15.out,3078,697,18,9,667,2347060,5257,87944,184,30,118,119,1719,833,84736,213,11
./basic/2.in/16.out,3078,697,18,9,667,2337594,4440,87338,192,34,115,118,1751,879,84046,212,11
./basic/2.in/17.out,3078,697,18,9,667,2359043,3219,87855,179,30,116,119,1695,811,84689,222,11
./basic/2.in/18.out,3078,697,18,9,667,2337335,4074,87918,182,33,116,120,1713,806,84740,218,11
./basic/2.in/19.out,3078,697,18,9,667,2343003,4373,88031,180,32,119,118,1718,807,84849,217,11
./basic/2.in/20.out,3078,697,18,9,667,2336637,4311,88073,180,32,113,121,1705,812,84896,221,12
./basic/2.in/21.out,3078,697,18,9,667,2313970,2390,87151,185,32,111,120,1710,799,83988,214,12
./basic/2.in/22.out,3078,697,18,9,667,2382051,3759,87013,181,31,116,118,1716,813,83825,221,12
./basic/2.in/23.out,3078,697,18,9,667,2298156,3766,88163,186,33,115,120,1686,810,85005,218,10
./basic/2.in/24.out,3078,697,18,9,667,2318767,3796,88019,195,39,129,118,1686,806,84845,217,11
./basic/2.in/25.out,3078,697,18,9,667,2348408,4411,88267,182,31,117,119,1706,798,85107,214,11
./basic/2.in/26.out,3078,697,18,9,667,2356244,4628,87935,184,32,113,118,1693,810,84769,224,12
./basic/2.in/27.out,3078,697,18,9,667,2332824,4618,86962,183,31,118,125,1724,801,83770,217,11
./basic/2.in/28.out,3078,697,18,9,667,2308074,2432,88111,182,32,113,120,1694,804,84959,216,11
./basic/2.in/29.out,3078,697,18,9,667,2307397,2407,88225,179,30,117,121,1713,821,85030,221,11
./basic/2.in/30.out,3078,697,18,9,667,2340589,3743,87998,180,30,114,121,1666,815,84868,210,11
./basic/3.in/0.out,25793,5454,19,80,846,2423339,28234,125776,393,35,238,122,2035,1053,121715,196,12
./basic/3.in/1.out,25793,5454,19,80,846,2374905,20319,127356,392,36,239,122,2041,1056,123277,206,12
./basic/3.in/2.out,25793,5454,19,80,846,2394404,27020,126155,385,35,235,120,2033,1054,122089,214,13
./basic/3.in/3.out,25793,5454,19,80,846,2370413,21188,126221,386,34,239,121,2056,1058,122131,207,12
./basic/3.in/4.out,25793,5454,19,80,846,2371728,20336,126531,387,33,241,120,2024,1059,122463,211,13
./basic/3.in/5.out,25793,5454,19,80,846,2395651,26982,131930,391,34,242,119,2049,1065,127816,223,12
./basic/3.in/6.out,25793,5454,19,80,846,2387679,21240,127295,387,33,244,121,2027,1069,123228,196,11
./basic/3.in/7.out,25793,5454,19,80,846,2378171,20627,127258,383,35,235,120,2065,1063,123157,212,12
./basic/3.in/8.out,25793,5454,19,80,846,2350602,20792,127117,389,33,243,122,2004,1063,123061,210,13
./basic/3.in/9.out,25793,5454,19,80,846,2387022,19573,127322,392,32,242,119,2059,1049,123229,207,13
./basic/3.in/10.out,25793,5454,19,80,846,2430531,26974,139561,408,36,264,129,2121,1133,135267,213,13
./basic/3.in/11.out,25793,5454,19,80,846,2376916,21672,127593,383,35,236,122,2076,1047,123497,208,12
./basic/3.in/12.out,25793,5454,19,80,846,2414158,28133,127058,388,33,238,120,2043,1051,122987,207,13
./basic/3.in/13.out,25793,5454,19,80,846,2380313,21146,127316,382,31,244,124,2026,1052,123254,209,14
./basic/3.in/14.out,25793,5454,19,80,846,2360567,20503,127457,388,35,240,120,2026,1051,123393,212,13
./basic/3.in/15.out,25793,5454,19,80,846,2375495,20753,138327,387,33,238,129,2053,1066,134216,213,12
./basic/3.in/16.out,25793,5454,19,80,846,2358104,19990,127395,387,35,239,118,2015,1049,123356,208,13
./basic/3.in/17.out,25793,5454,19,80,846,2374967,20477,126340,390,34,235,119,2045,1056,122259,211,13
./basic/3.in/18.out,25793,5454,19,80,846,2369510,20761,127421,389,36,234,123,2034,1061,123348,208,12
./basic/3.in/19.out,25793,5454,19,80,846,2409026,27379,127041,384,33,232,123,2058,1063,122942,215,13
./basic/3.in/20.out,25793,5454,19,80,846,2446022,27506,127469,384,32,241,119,2068,1051,123371,210,13
./basic/3.in/21.out,25793,5454,19,80,846,2393851,27396,127966,381,34,238,119,2066,1045,123889,203,13
./basic/3.in/22.out,25793,5454,19,80,846,2418967,27939,126048,385,32,237,120,2037,1059,121981,203,12
./basic/3.in/23.out,25793,5454,19,80,846,2391687,26716,127278,390,33,241,123,2036,1046,123208,211,12
./basic/3.in/24.out,25793,5454,19,80,846,2409353,27959,126705,393,34,238,121,2017,1051,122660,199,13
./basic/3.in/25.out,25793,5454,19,80,846,2380977,20965,127584,386,33,239,122,2028,1062,123509,215,12
./basic/3.in/26.out,25793,5454,19,80,846,2400625,27456,127644,390,37,235,121,2055,1062,123554,202,12
./basic/3.in/27.out,25793,5454,19,80,846,2354241,21078,127566,389,38,245,122,2067,1045,123468,205,12
./basic/3.in/28.out,25793,5454,19,80,846,2415176,27786,143282,379,34,235,121,2037,1055,139220,210,12
./basic/3.in/29.out,25793,5454,19,80,846,2541903,27809,127573,385,35,237,118,2031,1054,123516,208,12
./basic/3.in/30.out,25793,5454,19,80,846,2396354,26753,126780,380,34,233,122,2053,1054,122706,206,13
./basic/4.in/0.out,128321,27053,19,421,1108,2513632,104462,189163,2668,98,1198,265,3787,1973,178708,524,20
./basic/4.in/1.out,128321,27053,19,421,1108,2530331,132104,185126,1367,42,495,227,3128,1783,177572,521,19
./basic/4.in/2.out,128321,27053,19,421,1108,2550586,131639,184598,1374,43,498,223,3129,1774,177043,525,19
./basic/4.in/3.out,128321,27053,19,421,1108,2555318,131147,182455,1366,43,492,222,3132,1782,174912,520,18
